name,team,image,battingStyle,bowlingStyle,playingRole,description
Rahmanullah Gurbaz,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383237.png",Right hand Bat,,Wicketkeeper Batter,
Noor Ahmad,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383239.png",Right hand Bat,,Opening Batter,"One of the most exciting new talents to emerge from Afghanistan's cricket programmes in recent years, intrepid opening batsman Usman Ghani was good enough to play one-day international cricket for Afghanistan well before his 18th birthday. Ghani was also good enough to race to a century in his fourth ODI, against Zimbabwe, still aged 17. He started 2014 as part of the Afghanistan Under-19 team that defeated Australia and Sri Lanka in the Under-19 World Cup, and ended it as a member of the squad for Afghanistan's first full World Cup campaign. He warmed up for the tournament with a match-winning hundred against an Auckland team that included Kyle Mills and Mitchell McClenaghan.Liam Brickhill"
Ibrahim Zadran,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383225.png",Right hand Bat,Right arm Medium fast,Opening Batter,"Top-order batter Ibrahim Zadran is among Afghanistan's most consistent performers, and young enough to have made his Test debut (in the team's third ever match) before he played a white-ball international. He made 87 in that match in Chattogram, a big, historic win over Bangladesh."
Najibullah Zadran,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383226.png",Left hand Bat,Right arm Offbreak,Middle order Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill"
Gulbadin Naib,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383231.png",Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in the sporting world was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Mohammad Nabi,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383215.png",Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
Rashid Khan,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png",Right hand Bat,Legbreak Googly,Bowling Allrounder,"Rashid Khan has been Afghanistan's first global superstar, and the key to their successes in their early years in international cricket. His extraordinarily effective legspin has made him one of the greatest T20 bowlers ever, among the first names on wishlists of teams in leagues all around the world. "
Azmatullah Omarzai,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383229.png",Right hand Bat,Right arm Medium fast,Allrounder,"A fast-bowling allrounder who can bowl in the powerplay and hit big sixes down the order is always a prized asset in cricket, and Azmatullah Omarzai is no different."
Mujeeb Ur Rahman,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383240.png",Right hand Bat,Right arm Offbreak,Bowler,"He can bowl traditional offspin and mix it up with legspin and ripping googlies to make what Afghanistan coach Andy Moles terms a ""complete package"". At just 16, Mujeeb wants to follow in the footsteps of Rashid Khan, his senior by two years. There's plenty of hype surrounding him too, supported by the weight of his performances. "
Fazalhaq Farooqi,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383236.png",Right hand Bat,Left arm Fast medium,Bowler,
